id,content,keywords,sentiment_score,label
1,据最新研究表明，每天喝8杯水可以治愈多种疾病，包括癌症和心脏病。专家建议大家立即开始每天喝8杯水，这是一个简单而有效的健康习惯。,健康,疾病,治愈,0.8,fake
2,中国科学院发布最新研究成果，通过对1000名志愿者的长期跟踪研究，发现适量饮水对健康有益，但并没有证据表明可以治愈严重疾病。,研究,科学,健康,0.5,real
3,紧急扩散！某品牌奶粉被检测出含有有害物质，已导致多名婴儿患病。家长们必须立即停止使用该品牌奶粉，否则后果不堪设想。,紧急,扩散,安全,0.9,fake
4,国家市场监督管理总局发布公告，对某品牌奶粉进行了抽检，未发现有害物质。请消费者理性对待网络信息，通过官方渠道获取权威信息。,公告,监管,安全,0.3,real
5,震惊！科学家发现一种神奇的植物，可以治疗所有癌症，无需手术和化疗。这一发现将彻底改变癌症治疗的现状。,震惊,科学,治疗,0.8,fake
6,北京大学医学部发表在《自然》期刊上的研究表明，一种新型靶向药物对特定类型的癌症有较好的治疗效果，但并非对所有癌症都有效。,研究,医学,治疗,0.4,real
7,不转不是中国人！某国政府出台歧视性政策，严重损害中国公民的合法权益。大家必须转发此消息，让更多人知道真相。,转发,政治,权益,0.9,fake
8,外交部发言人就某国政策发表谈话，表达了中方的关切和立场，并表示将采取必要措施维护中国公民的合法权益。,政治,外交,权益,0.2,real
9,太可怕了！手机辐射会导致脑癌，使用手机超过10年的人患脑癌的风险增加10倍。大家必须减少手机使用时间。,可怕,健康,辐射,0.8,fake
10,世界卫生组织发布报告称，目前没有证据表明手机辐射会导致脑癌，但建议合理使用手机，避免长时间连续使用。,健康,辐射,研究,0.3,real
11,独家消息！某知名企业老总卷款跑路，公司已破产，无数投资者血本无归。这是一起重大金融诈骗案，涉及金额超过100亿。,独家,金融,诈骗,0.9,fake
12,中国证券监督管理委员会发布公告，对某企业进行了调查，未发现重大违法违规行为。提醒投资者理性投资，通过正规渠道获取信息。,监管,金融,投资,0.3,real
13,秘方公开！一种祖传中药可以治疗糖尿病，服用3个月即可完全康复，无需再服用西药。这是一个被医院隐瞒的秘密。,秘方,中药,治疗,0.8,fake
14,中华医学会发布糖尿病治疗指南，强调糖尿病需要综合治疗，包括饮食控制、运动和药物治疗，目前尚无根治方法。,医学,治疗,健康,0.4,real
15,紧急通知！明天起全国将实施新的交通法规，所有车辆必须安装北斗导航系统，否则将被罚款5000元。请大家相互转告。,紧急,通知,交通,0.9,fake
16,交通运输部发布通知，鼓励车辆安装北斗导航系统，但并未强制要求。提醒广大车主通过官方渠道了解最新交通法规。,通知,交通,法规,0.3,real
17,惊人发现！月球上发现了大量水资源，足够人类使用1000年。这将彻底解决地球的水资源危机。,惊人,科学,发现,0.8,fake
18,中国探月工程发布最新研究成果，在月球表面发现了水的痕迹，但储量有限，需要进一步研究和开发。,科学,探月,发现,0.4,real
19,转疯了！某明星出轨被抓现行，视频证据曝光，已被警方带走调查。这是娱乐圈的惊天丑闻。,转疯,明星,丑闻,0.9,fake
20,某明星工作室发表声明，否认网传的出轨传闻，称相关信息为虚假信息，将保留法律追究的权利。,明星,声明,法律,0.2,real
21,紧急扩散！某品牌疫苗被检测出严重副作用，已导致多名儿童死亡。家长们必须立即停止给孩子接种该疫苗。,紧急,扩散,安全,0.9,fake
22,国家卫生健康委员会发布公告，对某品牌疫苗进行了抽检，未发现严重副作用。提醒家长通过正规渠道获取疫苗信息。,公告,监管,健康,0.3,real
23,震惊！科学家发现一种新型病毒，致死率高达50%，已在多个国家爆发。这是人类面临的最大威胁。,震惊,科学,健康,0.85,fake
24,世界卫生组织发布报告称，目前没有证据表明存在高致死率的新型病毒，提醒公众不要恐慌，注意个人卫生。,健康,研究,科学,0.3,real
25,独家消息！某政府官员贪污受贿超过10亿，已被纪检部门调查。这是一起重大腐败案件。,独家,政治,反腐,0.9,fake
26,国家监察委员会发布公告，对某政府官员进行了调查，未发现重大违法违纪行为。提醒公众理性对待网络信息。,公告,政治,反腐,0.3,real
27,秘方公开！一种神奇的减肥方法，无需节食和运动，一个月可以瘦30斤。这是一个被减肥机构隐瞒的秘密。,秘方,健康,减肥,0.8,fake
28,中国营养学会发布减肥指南，强调健康减肥需要合理饮食和适量运动，不存在快速减肥的方法。,健康,营养,减肥,0.4,real
29,不转不是中国人！某国军队在边境挑衅，造成多名中国士兵伤亡。大家必须转发此消息，支持国家。,转发,政治,军事,0.9,fake
30,国防部发言人就边境局势发表谈话，强调中国军队始终保持克制，不存在士兵伤亡的情况。,政治,军事,外交,0.2,real
31,太可怕了！5G网络会导致癌症，使用5G手机的人患癌风险增加10倍。大家必须拒绝使用5G。,可怕,科技,健康,0.8,fake
32,中国科学院发布研究报告称，目前没有证据表明5G网络会导致癌症，5G技术是安全的。,科学,科技,健康,0.3,real
33,惊人发现！科学家发现地球将在5年内毁灭，人类必须尽快寻找新的家园。这是一个被政府隐瞒的秘密。,惊人,科学,环境,0.85,fake
34,国家航天局发布报告称，地球环境虽然面临挑战，但不存在短期内毁灭的风险，人类有能力应对环境问题。,科学,环境,航天,0.4,real
35,转疯了！某知名企业生产的食品含有致癌物质，已导致多人死亡。大家必须停止食用该品牌食品。,转疯,食品,安全,0.9,fake
36,国家市场监督管理总局发布公告，对某企业生产的食品进行了抽检，未发现致癌物质。提醒消费者理性对待网络信息。,公告,监管,食品,0.3,real
37,紧急通知！明天起银行将停止办理现金业务，所有交易必须使用数字人民币。请大家相互转告。,紧急,通知,金融,0.9,fake
38,中国人民银行发布通知，数字人民币是法定货币，但不会停止现金业务，现金仍然是重要的支付方式。,通知,金融,货币,0.3,real
39,独家消息！某知名高校校长学术造假，多篇论文被撤稿。这是一起重大学术丑闻。,独家,教育,学术,0.9,fake
40,教育部发布公告，对某高校校长进行了调查，未发现学术造假行为。提醒公众理性对待网络信息。,公告,教育,学术,0.3,real
41,秘方公开！一种神奇的增高方法，25岁以下的人使用后可以增高10厘米。这是一个被医疗机构隐瞒的秘密。,秘方,健康,增高,0.8,fake
42,中华医学会发布身高增长指南，强调身高主要由遗传因素决定，不存在有效的增高方法。,医学,健康,增高,0.4,real
43,不转不是中国人！某国企业歧视中国员工，工资待遇只有外国员工的一半。大家必须抵制该企业。,转发,经济,权益,0.9,fake
44,商务部发言人就企业待遇问题发表谈话，强调中国政府保护所有劳动者的合法权益，不存在系统性歧视。,经济,权益,外交,0.2,real
45,太可怕了！食用转基因食品会导致不育，长期食用会影响下一代。大家必须拒绝食用转基因食品。,可怕,食品,健康,0.8,fake
46,中国农业农村部发布报告称，转基因食品经过严格安全评估，与传统食品一样安全。,农业,食品,健康,0.3,real
47,惊人发现！科学家发现一种新型能源，可以完全替代石油，成本只有石油的十分之一。这将彻底改变能源格局。,惊人,科学,能源,0.85,fake
48,国家能源局发布报告称，新型能源技术仍在研发阶段，短期内无法完全替代传统能源。,能源,科学,技术,0.4,real
49,转疯了！某知名品牌化妆品含有重金属，长期使用会导致皮肤癌。大家必须停止使用该品牌化妆品。,转疯,化妆品,健康,0.9,fake
50,国家药品监督管理局发布公告，对某品牌化妆品进行了抽检，未发现重金属超标。提醒消费者理性对待网络信息。,公告,监管,化妆品,0.3,real
51,紧急扩散！某城市将发生7级以上地震，居民必须立即撤离。这是地震部门的内部消息。,紧急,扩散,自然灾害,0.9,fake
52,中国地震台网发布公告，近期该地区没有发生7级以上地震的迹象，提醒公众不要相信谣言。,公告,自然灾害,科学,0.3,real
53,震惊！科学家发现一种新型毒品，服用后会让人产生幻觉，且无法检测。这是毒品市场的新趋势。,震惊,科学,法律,0.85,fake
54,国家禁毒委员会发布公告，目前没有发现新型无法检测的毒品，提醒公众远离毒品，珍爱生命。,公告,法律,健康,0.3,real
55,独家消息！某知名运动员服用兴奋剂，已被国际体育组织禁赛。这是体育界的重大丑闻。,独家,体育,兴奋剂,0.9,fake
